Product Name,Generic Name,Company,Category,Strength,Pack Size,MRP,Selling Price,Stock,Batch Number,Expiry Date,Image URL
Calcitrol Licap,Calcitriol,"Square Pharmaceuticals PLC, Pabna",Capsule,.25 mcg,,,,,,,
Scabex Plus,Crotamiton + Permethrin,"Square Pharmaceuticals PLC, Pabna",Lotion,10 gm + 5 gm/100 ml,,,,,,,
Nalid,Nalidixic Acid,"Square Pharmaceuticals PLC, Pabna",Tablet,500 mg,,,,,,,
Mirakof,Butamirate Citrate,"Square Pharmaceuticals PLC, Pabna",Syrup,150 mg/100 ml,,,,,,,
Iracet,Levetiracetam,"Square Pharmaceuticals PLC, Pabna",Tablet,250 mg,,,,,,,
Tulip,Ulipristal Acetate,"Square Pharmaceuticals PLC, Pabna",Tablet,30 mg,,,,,,,
Iracet,Levetiracetam,"Square Pharmaceuticals PLC, Pabna",Tablet,500 mg,,,,,,,
Vertina,Meclizine Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Tablet,50 mg,,,,,,,
Mirakof,Butamirate Citrate,"Square Pharmaceuticals PLC, Pabna",Tablet,50 mg,,,,,,,
Ceevit,Vitamin C,"Square Pharmaceuticals PLC, Pabna",Tablet,250 mg,,,,,,,
Ucol,Tolterodine Tartrate,"Square Pharmaceuticals PLC, Pabna",Tablet,2 mg,,,,,,,
Pentadol,Tapentadol,"Square Pharmaceuticals PLC, Pabna",Tablet,50 mg,,,,,,,
Pentadol,Tapentadol,"Square Pharmaceuticals PLC, Pabna",Tablet,75 mg,,,,,,,
Cardipro,Atenolol,"Square Pharmaceuticals PLC, Pabna",Tablet,50 mg,,,,,,,
Antazol Plus Metered Dose,Sodium Cromoglycate + Xylometazoline Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Nasal Spray,2.6 mg + 32.5 mg/100 ml,,,,,,,
Flonaspar,Fluticasone Propionate,"Square Pharmaceuticals PLC, Pabna",Nasal Spray,50 mcg/Spray,,,,,,,
Emolent,Light Liquid Paraffin + White Soft Paraffin,"Square Pharmaceuticals PLC, Pabna",Lotion,3 gm + 8 gm/100 gm,,,,,,,
Nomi,Zolmitriptan,"Square Pharmaceuticals PLC, Pabna",Tablet,2.5 mg,,,,,,,
Ceevit,Vitamin C,"Square Pharmaceuticals PLC, Pabna",Syrup,100 mg/5 ml,,,,,,,
Renorma,Tibolone,"Square Pharmaceuticals PLC, Pabna",Tablet,2.5 mg,,,,,,,
Camlosart 5/20,Amlodipine + Olmesartan Medoxomil,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg + 20 mg,,,,,,,
Stiagen,Tiamulin Hydrogen Fumerate,"Square Pharmaceuticals PLC, Pabna",Powder,45%,,,,,,,
Ticas,Fluticasone Propionate,"Square Pharmaceuticals PLC, Pabna",Ointment,5 mg/100 gm,,,,,,,
Emolent,Light Liquid Paraffin + White Soft Paraffin,"Square Pharmaceuticals PLC, Pabna",Cream,6 gm + 15 gm/100 gm,,,,,,,
Mirakof Paed Drops,Butamirate Citrate,"Square Pharmaceuticals PLC, Pabna",Oral Drops,500 mg/100 ml,,,,,,,
Flaso,Fluticasone Propionate,"Square Pharmaceuticals PLC, Pabna",Aerosol Inhalation,250 mcg/Metered Inhalation,,,,,,,
Fona Plus,Adapalene + Benzoyl Peroxide,"Square Pharmaceuticals PLC, Pabna",Gel,.1 gm + 2.5 gm/100 gm,,,,,,,
Rivatig 3 Capsule,Rivastigmine,"Square Pharmaceuticals PLC, Pabna",Capsule,3 mg,,,,,,,
Vardamate 20,Vardenafil Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Tablet,20 mg,,,,,,,
Inox,Linezolid,"Square Pharmaceuticals PLC, Pabna",Tablet,400 mg,,,,,,,
Trupan,Pantoprazole,"Square Pharmaceuticals PLC, Pabna",Tablet,20 mg,,,,,,,
Camlosart 5/40,Amlodipine + Olmesartan Medoxomil,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg + 40 mg,,,,,,,
Olmecar,Olmesartan Medoxomil,"Square Pharmaceuticals PLC, Pabna",Tablet,20 mg,,,,,,,
Eromycin,Erythromycin,"Square Pharmaceuticals PLC, Pabna",Solution,100 mg/5 ml,,,,,,,
Akicin 500 IM/IV,Amikacin,"Square Pharmaceuticals PLC, Pabna",Injection,500 mg/2 ml,,,,,,,
Opaxon,Naloxone Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Injection,400 mcg/ml,,,,,,,
Dyvon Plus,Betamethasone + Calcipotriol,"Square Pharmaceuticals PLC, Pabna",Topical Suspension,50 mg + 5 mg/100 gm,,,,,,,
Tozan Vet,Oxyclozanide + Tetramisole Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Bolus,1.4 gm + 2 gm,,,,,,,
Beclomin,Beclomethasone Dipropionate,"Square Pharmaceuticals PLC, Pabna",Inhalation Solution,250 mcg,,,,,,,
Eromycin,Erythromycin,"Square Pharmaceuticals PLC, Pabna",Paediatric Drops,50 mg/1.25 ml,,,,,,,
Nebita 2.5,Nebivolol,"Square Pharmaceuticals PLC, Pabna",Tablet,2.5 mg,,,,,,,
Acetram,Paracetamol + Tramadol Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Tablet,325 mg + 37.5 mg,,,,,,,
Clofenac,Diclofenac Sodium,"Square Pharmaceuticals PLC, Pabna",Suppository,12.5 mg,,,,,,,
Akicin 100 IM/IV,Amikacin,"Square Pharmaceuticals PLC, Pabna",Injection,100 mg/2 ml,,,,,,,
Avaspray,Fluticasone Furoate,"Square Pharmaceuticals PLC, Pabna",Nasal Spray,27.5 mcg/Spray,,,,,,,
Beclomin,Beclomethasone Dipropionate,"Square Pharmaceuticals PLC, Pabna",Aerosol Inhalation,250 mcg/Metered Inhalation,,,,,,,
Cef-3,Cefixime,"Square Pharmaceuticals PLC, Pabna",Capsule,400 mg,,,,,,,
Eromycin,Erythromycin,"Square Pharmaceuticals PLC, Pabna",Lotion,150 mg/5 ml,,,,,,,
Durol,Carvedilol,"Square Pharmaceuticals PLC, Pabna",Tablet,12.5 mg,,,,,,,
Anzitor,Atorvastatin,"Square Pharmaceuticals PLC, Pabna",Tablet,20 mg,,,,,,,
Contifil,Theophylline,"Square Pharmaceuticals PLC, Pabna",Tablet,400 mg,,,,,,,
Rozy DS,Drospirenone + Estradiol,"Square Pharmaceuticals PLC, Pabna",Tablet,500 mcg + 1 mg,,,,,,,
Amodis,Metronidazole,"Square Pharmaceuticals PLC, Pabna",Tablet,400 mg,,,,,,,
Eslicar 400,Eslicarbazepine Acetate,"Square Pharmaceuticals PLC, Pabna",Tablet,400 mg,,,,,,,
Z-DT,Zinc,"Square Pharmaceuticals PLC, Pabna",Tablet,20 mg,,,,,,,
Atrosul,Atropine Sulphate,"Square Pharmaceuticals PLC, Pabna",Eye Drops,1 gm/100 ml,,,,,,,
Betameson CL,Betamethasone + Clotrimazole,"Square Pharmaceuticals PLC, Pabna",Cream,50 mg + 1 gm/100 gm,,,,,,,
Avit Licap,Vitamin A,"Square Pharmaceuticals PLC, Pabna",Soft Gelatin Capsule,50000 IU,,,,,,,
Malacide,Pyrimethamine + Sulfadoxine,"Square Pharmaceuticals PLC, Pabna",Tablet,25 mg + 500 mg,,,,,,,
Zesup,Zinc,"Square Pharmaceuticals PLC, Pabna",Syrup,10 mg/5 ml,,,,,,,
Ranolin XR,Ranolazine,"Square Pharmaceuticals PLC, Pabna",Er Tablet,1000 mg,,,,,,,
Durol,Carvedilol,"Square Pharmaceuticals PLC, Pabna",Tablet,6.25 mg,,,,,,,
